Source;Target;Weight
citing;justice;1.0
citing;law;1.0
citing;life;1.0
citing;man;1.0
citing;men;1.0
citing;nature;1.0
citing;order;1.0
citing;other;1.0
citing;ruler;1.0
citing;sort;1.0
citing;soul;1.0
citing;state;1.0
citing;thing;1.0
citing;way;1.0
citing;work;1.0
citizen;citizen;1.0
citizen;class;1.0
citizen;guardian;1.0
citizen;happily;1.0
citizen;justice;1.0
citizen;life;1.0
citizen;man;1.0
citizen;men;1.0
citizen;nature;1.0
citizen;ruler;1.0
citizen;state;1.0
citizen;thing;1.0
citizen;way;1.0
citizen;work;1.0
class;class;1.0
class;guardian;1.0
class;happily;1.0
class;life;1.0
class;man;1.0
class;men;1.0
class;state;1.0
constitutes;anything;1.0
constitutes;art;1.0
constitutes;bodily;1.0
constitutes;citing;1.0
constitutes;citizen;1.0
constitutes;class;1.0
constitutes;constitutes;1.0
constitutes;eye;1.0
constitutes;gold;1.0
constitutes;govern;1.0
constitutes;guardian;1.0
constitutes;hand;1.0
constitutes;happily;1.0
constitutes;husbandman;1.0
constitutes;individual;1.0
constitutes;injustice;1.0
constitutes;justice;1.0
constitutes;kind;1.0
constitutes;law;1.0
constitutes;life;1.0
constitutes;man;1.0
constitutes;men;1.0
constitutes;nature;1.0
constitutes;number;1.0
constitutes;one;1.0
constitutes;order;1.0
constitutes;other;1.0
constitutes;part;1.0
constitutes;potter;1.0
constitutes;power;1.0
constitutes;principle;1.0
constitutes;protect;1.0
constitutes;reason;1.0
constitutes;ruler;1.0
constitutes;sort;1.0
constitutes;soul;1.0
constitutes;state;1.0
constitutes;thing;1.0
constitutes;time;1.0
constitutes;truth;1.0
constitutes;view;1.0
constitutes;virtue;1.0
constitutes;way;1.0
constitutes;whole;1.0
constitutes;work;1.0
copies;Gutenberg-tm;1.0
copies;agreement;1.0
copies;copies;1.0
copies;protect;1.0
copies;state;1.0
copies;term;1.0
copies;work;1.0
copyright;Gutenberg;1.0
copyright;Gutenberg-tm;1.0
copyright;agreement;1.0
copyright;copies;1.0
copyright;copyright;1.0
copyright;found;1.0
copyright;license;1.0
copyright;protect;1.0
copyright;refund;1.0
copyright;state;1.0
copyright;term;1.0
copyright;unit;1.0
copyright;work;1.0
cubes;cubes;1.0
cubes;number;1.0
cubes;square;1.0
cubes;time;1.0
desire;action;1.0
desire;art;1.0
desire;case;1.0
desire;desire;1.0
desire;evil;1.0
desire;friend;1.0
desire;god;1.0
desire;injustice;1.0
desire;interest;1.0
desire;justice;1.0
desire;life;1.0
desire;lot;1.0
desire;man;1.0
desire;men;1.0
desire;mind;1.0
desire;nature;1.0
desire;north;1.0
desire;other;1.0
desire;power;1.0
desire;principle;1.0
desire;son;1.0
desire;sort;1.0
desire;soul;1.0
desire;state;1.0
desire;thing;1.0
desire;time;1.0
desire;virtue;1.0
desire;way;1.0
desire;word;1.0
domain;Gutenberg;1.0
domain;Gutenberg-tm;1.0
domain;agreement;1.0
domain;copies;1.0
domain;copyright;1.0
domain;domain;1.0
domain;found;1.0
domain;license;1.0
domain;protect;1.0
domain;refund;1.0
domain;state;1.0
domain;term;1.0
domain;unit;1.0
domain;work;1.0
drink;drink;1.0
earth;bodily;1.0
earth;choice;1.0
earth;earth;1.0
earth;evil;1.0
earth;justice;1.0
earth;life;1.0
earth;live;1.0
earth;lot;1.0
earth;man;1.0
earth;men;1.0
earth;nature;1.0
earth;number;1.0
earth;other;1.0
earth;principle;1.0
earth;reason;1.0
earth;sort;1.0
earth;soul;1.0
earth;state;1.0
earth;thing;1.0
earth;time;1.0
earth;way;1.0
earth;world;1.0
enemies;enemies;1.0
enemies;man;1.0
evil;evil;1.0
evil;life;1.0
evil;lot;1.0
evil;man;1.0
evil;soul;1.0
excess;choice;1.0
excess;evil;1.0
excess;excess;1.0
excess;god;1.0
excess;injustice;1.0
excess;justice;1.0
excess;life;1.0
excess;live;1.0
excess;lot;1.0
excess;man;1.0
excess;men;1.0
excess;nature;1.0
excess;other;1.0
excess;philosophic;1.0
excess;qualities;1.0
excess;sort;1.0
excess;soul;1.0
excess;state;1.0
excess;thing;1.0
excess;time;1.0
excess;virtue;1.0
excess;way;1.0
excess;wealth;1.0
excess;world;1.0
eye;citing;1.0
eye;citizen;1.0
eye;class;1.0
eye;eye;1.0
eye;guardian;1.0
eye;hand;1.0
eye;happily;1.0
eye;individual;1.0
eye;injustice;1.0
eye;justice;1.0
eye;law;1.0
eye;life;1.0
eye;man;1.0
eye;men;1.0
eye;nature;1.0
eye;order;1.0
eye;other;1.0
eye;part;1.0
eye;power;1.0
eye;ruler;1.0
eye;sort;1.0
eye;soul;1.0
eye;state;1.0
eye;thing;1.0
eye;truth;1.0
eye;way;1.0
eye;work;1.0
father;father;1.0
fee;Archive;1.0
fee;Gutenberg;1.0
fee;Gutenberg-tm;1.0
fee;agreement;1.0
fee;copies;1.0
fee;fee;1.0
fee;found;1.0
fee;license;1.0
fee;literary;1.0
fee;protect;1.0
fee;state;1.0
fee;term;1.0
fee;work;1.0
form;anything;1.0
form;art;1.0
form;bodily;1.0
form;character;1.0
form;citing;1.0
form;citizen;1.0
form;class;1.0
form;constitutes;1.0
form;eye;1.0
form;form;1.0
form;gold;1.0
form;govern;1.0
form;guardian;1.0
form;hand;1.0
form;happily;1.0
form;husbandman;1.0
form;individual;1.0
form;injustice;1.0
form;justice;1.0
form;kind;1.0
form;law;1.0
form;life;1.0
form;man;1.0
form;men;1.0
form;nature;1.0
form;number;1.0
form;one;1.0
form;order;1.0
form;other;1.0
form;part;1.0
form;potter;1.0
form;power;1.0
form;principle;1.0
form;protect;1.0
form;purport;1.0
form;question;1.0
form;reason;1.0
form;ruler;1.0
form;sort;1.0
form;soul;1.0
form;state;1.0
form;thing;1.0
form;time;1.0
form;truth;1.0
form;view;1.0
form;virtue;1.0
form;way;1.0
form;whole;1.0
form;work;1.0
found;Gutenberg;1.0
found;Gutenberg-tm;1.0
found;found;1.0
found;protect;1.0
found;work;1.0
friend;evil;1.0
friend;friend;1.0
friend;god;1.0
friend;injustice;1.0
friend;justice;1.0
friend;life;1.0
friend;man;1.0
friend;men;1.0
friend;nature;1.0
friend;north;1.0
friend;other;1.0
friend;power;1.0
friend;sort;1.0
friend;soul;1.0
friend;state;1.0
friend;thing;1.0
friend;time;1.0
friend;way;1.0
friend;word;1.0
god;god;1.0
god;injustice;1.0
god;justice;1.0
god;life;1.0
god;man;1.0
god;nature;1.0
god;state;1.0
gold;citing;1.0
gold;citizen;1.0
gold;class;1.0
gold;eye;1.0
gold;gold;1.0
gold;govern;1.0
gold;guardian;1.0
gold;hand;1.0
gold;happily;1.0
gold;individual;1.0
gold;injustice;1.0
gold;justice;1.0
gold;law;1.0
gold;life;1.0
gold;man;1.0
gold;men;1.0
gold;nature;1.0
gold;one;1.0
