,Aemon-Targaryen-(Maester-Aemon),Arya-Stark,Barristan-Selmy,Bran-Stark,Brienne-of-Tarth,Bronn,Catelyn-Stark,Cersei-Lannister,Daenerys-Targaryen,Davos-Seaworth,Drogo,Eddard-Stark,Gregor-Clegane,Hodor,Jaime-Lannister,Jeor-Mormont,Joffrey-Baratheon,Jon-Snow,Jorah-Mormont,Loras-Tyrell,Luwin,Lysa-Arryn,Mance-Rayder,Margaery-Tyrell,Melisandre,Petyr-Baelish,Pycelle,Renly-Baratheon,Rickon-Stark,Robb-Stark,Robert-Baratheon,Samwell-Tarly,Sandor-Clegane,Sansa-Stark,Stannis-Baratheon,Theon-Greyjoy,Tommen-Baratheon,Tyrion-Lannister,Tywin-Lannister,Varys
Gregor-Clegane,0.0,0.024390243902439025,0.0,0.0,0.0,0.00975609756097561,0.0,0.05121951219512195,0.0,0.0,0.0,0.03170731707317073,1.0,0.0,0.036585365853658534,0.0,0.02926829268292683,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.007317073170731708,0.014634146341463415,0.0,0.0,0.00975609756097561,0.00975609756097561,0.0,0.07560975609756097,0.012195121951219513,0.0,0.0,0.0,0.07317073170731707,0.04878048780487805,0.0
Hodor,0.0,0.0,0.0,0.5456919060052219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049608355091384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028720626631853787,0.013054830287206266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime-Lannister,0.0,0.0082855321861058,0.005098789037603569,0.0,0.07074569789674952,0.0,0.03760356915232632,0.082855321861058,0.0,0.0,0.0,0.021032504780114723,0.009560229445506692,0.0,1.0,0.0,0.028680688336520075,0.0019120458891013384,0.0,0.023581899298916506,0.0,0.0057361376673040155,0.0,0.006373486297004461,0.0,0.007010834926704908,0.006373486297004461,0.017845761631612493,0.0,0.026131293817718292,0.04397705544933078,0.0,0.01338432122370937,0.014659018483110261,0.0076481835564053535,0.0025493945188017845,0.022944550669216062,0.07202039515615041,0.032504780114722756,0.012109623964308477
Jeor-Mormont,0.05165289256198347,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.359504132231405,0.006198347107438017,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.10537190082644628,0.0,0.0,0.0,0.0,0.0,0.05578512396694215,0.0,0.0
Joffrey-Baratheon,0.0,0.030079455164585697,0.0073779795686719635,0.00340522133938706,0.0022701475595913734,0.00681044267877412,0.006242905788876277,0.0981838819523269,0.0,0.0056753688989784334,0.0,0.023269012485811577,0.00681044267877412,0.0,0.02553916004540295,0.0,1.0,0.007945516458569807,0.0,0.01021566401816118,0.0,0.0,0.0028376844494892167,0.03178206583427923,0.0022701475595913734,0.02213393870601589,0.010783200908059024,0.014188422247446084,0.0,0.027809307604994324,0.036322360953461974,0.0,0.04029511918274688,0.12599318955732122,0.02553916004540295,0.0,0.04370034052213394,0.12429057888762769,0.020998864926220204,0.020998864926220204
Jon-Snow,0.03989844033369604,0.025752629669931085,0.0,0.03264417845484222,0.0,0.0,0.005077983315197679,0.0025389916575988395,0.0,0.0,0.0,0.023576351106274936,0.0,0.0,0.001088139281828074,0.06311207834602829,0.005077983315197679,1.0,0.0,0.0,0.003627130939426913,0.0,0.04062386652158143,0.0,0.020674646354733407,0.0,0.0,0.0,0.005803409503083061,0.03300689154878491,0.01051867972433805,0.08269858541893363,0.0,0.003989844033369605,0.03300689154878491,0.005803409503083061,0.0,0.020311933260790716,0.0,0.0
Jorah-Mormont,0.0,0.0,0.012468827930174564,0.0,0.0,0.0,0.0,0.0,0.4014962593516209,0.0,0.06982543640897755,0.0,0.0,0.0,0.0,0.007481296758104738,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02493765586034913,0.0,0.0,0.0,0.0,0.0,0.0,0.06733167082294264,0.0,0.0
Loras-Tyrell,0.0,0.0,0.0,0.0,0.0182370820668693,0.0,0.0182370820668693,0.0729483282674772,0.0,0.0,0.0,0.0364741641337386,0.030395136778115502,0.0,0.11246200607902736,0.0,0.0547112462006079,0.0,0.0,1.0,0.0,0.0,0.0,0.09422492401215805,0.0,0.015197568389057751,0.0,0.08206686930091185,0.0,0.0,0.02127659574468085,0.0,0.0121580547112462,0.08206686930091185,0.0121580547112462,0.0,0.03951367781155015,0.06382978723404255,0.0,0.0
Luwin,0.0,0.0,0.0,0.30851063829787234,0.0,0.0,0.03723404255319149,0.0,0.0,0.0,0.0,0.05053191489361702,0.0,0.07180851063829788,0.0,0.0,0.0,0.026595744680851064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05585106382978723,0.06914893617021277,0.0,0.0,0.0,0.0,0.0,0.07180851063829788,0.007978723404255319,0.026595744680851064,0.0,0.0
Lysa-Arryn,0.0,0.0,0.0,0.0,0.008797653958944282,0.0,0.16129032258064516,0.026392961876832845,0.0,0.0,0.0,0.03519061583577713,0.0,0.0,0.026392961876832845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1378299120234604,0.0,0.0,0.0,0.0,0.02346041055718475,0.0,0.0,0.12023460410557185,0.011730205278592375,0.0,0.0,0.10557184750733138,0.011730205278592375,0.0
