Source;Target;Weight
Gutenberg-tm;copies;0.05517241379310345
way;guardian;0.05504587155963303
men;soul;0.05450733752620545
life;men;0.053246753246753244
soul;lot;0.0524364406779661
soul;man;0.0524364406779661
men;women;0.05241090146750524
injustice;state;0.05210237659963437
man;soul;0.05180533751962323
men;way;0.051362683438155136
protect;term;0.05054509415262636
nature;evil;0.05
man;state;0.04971219256933543
justice;men;0.0494944119212347
work;agreement;0.04940530649588289
work;copies;0.04940530649588289
thing;god;0.04849884526558892
thing;nature;0.04734411085450346
state;guardian;0.04725168756027001
men;other;0.04716981132075472
justice;nature;0.04630122405534859
man;nature;0.046049188906331764
work;unit;0.04574565416285453
protect;Archive;0.04558969276511397
protect;literary;0.04558969276511397
man;men;0.04552590266875981
life;nature;0.044805194805194806
justice;state;0.04470463012240553
soul;evil;0.04449152542372881
nature;knowledge;0.044444444444444446
nature;way;0.044444444444444446
thing;justice;0.04387990762124711
thing;knowledge;0.04387990762124711
thing;truth;0.04387990762124711
protect;agreement;0.04360753221010902
justice;interest;0.04310803618946248
work;Gutenberg;0.043000914913083256
life;evil;0.04285714285714286
injustice;interest;0.04204753199268738
soul;nature;0.04184322033898305
life;justice;0.04155844155844156
work;found;0.04117108874656908
men;time;0.040880503144654086
injustice;life;0.04021937842778794
man;thing;0.03976975405546834
thing;other;0.03926096997690531
thing;sort;0.03926096997690531
injustice;other;0.038391224862888484
life;other;0.03831168831168831
life;way;0.03701298701298701
protect;state;0.036669970267591674
work;refund;0.036596523330283626
injustice;Thrasymachus;0.03656307129798903
injustice;evil;0.03656307129798903
injustice;power;0.03656307129798903
state;happily;0.036322725811636127
work;copyright;0.035681610247026534
work;license;0.035681610247026534
injustice;god;0.0356489945155393
injustice;unjust;0.0356489945155393
life;thing;0.03506493506493506
protect;copies;0.03468780971258672
protect;license;0.03468780971258672
thing;bodily;0.03464203233256351
thing;evil;0.03464203233256351
men;evil;0.03459119496855346
man;other;0.03453689167974882
soul;state;0.034427966101694914
justice;Thrasymachus;0.034060670569451834
justice;life;0.034060670569451834
soul;thing;0.03389830508474576
injustice;soul;0.033820840950639856
protect;fee;0.03369672943508424
thing;beautify;0.03348729792147806
thing;world;0.03348729792147806
life;live;0.033116883116883114
soul;other;0.03283898305084746
life;choice;0.032467532467532464
life;time;0.032467532467532464
soul;bodily;0.0323093220338983
injustice;sort;0.031992687385740404
injustice;way;0.031992687385740404
life;god;0.031818181818181815
protect;trademark;0.031714568880079286
protect;unit;0.031714568880079286
men;power;0.031446540880503145
man;way;0.03139717425431711
work;domain;0.03110704483074108
state;men;0.03085824493731919
soul;time;0.03072033898305085
state;man;0.030536804885888783
justice;power;0.03033528472591804
state;life;0.030215364834458372
state;class;0.029893924783027964
justice;soul;0.028738690792974985
soul;choice;0.028601694915254237
soul;justice;0.028601694915254237
life;injustice;0.02857142857142857
work;access;0.028362305580969808
state;way;0.027965284474445518
man;god;0.02773417059131345
soul;men;0.02754237288135593
soul;world;0.02754237288135593
work;trademark;0.027447392497712716
life;sort;0.02727272727272727
man;time;0.027210884353741496
state;justice;0.02700096432015429
state;work;0.026679524268723883
life;virtue;0.026623376623376622
life;world;0.026623376623376622
soul;way;0.026483050847457626
state;thing;0.026358084217293475
justice;god;0.026077700904736562
state;nature;0.02539376406300225
state;citizen;0.02507232401157184
state;ruler;0.02507232401157184
justice;way;0.025013304949441192
justice;other;0.024481106971793506
man;evil;0.024071166928309785
life;philosophic;0.024025974025974027
life;qualities;0.024025974025974027
justice;manner;0.023416711016498136
state;individual;0.022500803600128575
soul;live;0.022245762711864406
state;law;0.022179363548698167
state;order;0.021536483445837352
man;power;0.021454735740450027
man;sort;0.021454735740450027
soul;principle;0.0211864406779661
soul;reason;0.0211864406779661
soul;sort;0.0211864406779661
state;soul;0.020893603342976536
justice;view;0.020755721128259713
man;friend;0.02040816326530612
man;north;0.02040816326530612
man;word;0.02040816326530612
justice;honour;0.020223523150612027
justice;thing;0.020223523150612027
life;wealth;0.02012987012987013
soul;earth;0.020127118644067795
soul;number;0.020127118644067795
man;case;0.01988487702773417
justice;evil;0.019691325172964343
justice;possessor;0.019691325172964343
soul;injustice;0.019597457627118644
state;other;0.019286403085824494
justice;argument;0.019159127195316657
justice;reputed;0.019159127195316657
justice;sort;0.019159127195316657
soul;qualities;0.019067796610169493
man;lot;0.018838304552590265
man;son;0.018838304552590265
life;excess;0.01883116883116883
justice;one;0.018626929217668974
soul;virtue;0.018538135593220338
state;injustice;0.01832208293153327
man;art;0.018315018315018316
man;interest;0.018315018315018316
man;principle;0.018315018315018316
man;virtue;0.018315018315018316
justice;ring;0.018094731240021287
state;sort;0.01767920282867245
soul;journey;0.017478813559322032
state;citing;0.017357762777242044
justice;virtue;0.017030335284725917
soul;heaven;0.01694915254237288
soul;spirit;0.01694915254237288
man;action;0.01674515960230246
man;desire;0.01674515960230246
